1703 903
2 2 11.9982771381037
1 11.9982771381037 -0
5 -0 -0
5 -1.541 -0
5 6.28318530717959 -0
5 6.28318530717959 0.22301549389272
5 6.28318530717959 0.915006548869142
5 6.28318530717959 0.447531402832295
5 6.28318530717959 0.574875784597333
5 6.28318530717959 0.0459820975804036
5 6.28318530717959 0.468214150171695
5 6.28318530717959 -0.0341923014259177
5 6.28318530717959 0.22301549389272
5 6.28318530717959 0.376738940650044
5 6.28318530717959 -0.10298221864432
5 6.28318530717959 0.167339215126371
5 6.28318530717959 -0.140105935553038
5 -0 0.685580755803099
5 -0 0.685580755803099
5 -0 0.704215102712133
5 -0 0.704215102712133
5 -0 0.778235251138913
5 -0 0.685580755803099
5 -0 0.704215102712133
5 -0 0.777251452831609
5 -0 0.685580755803099
5 -0 0.704215102712133
5 -0 0.75580547235315
5 -0 0.704215102712133
5 -0 0.575640846250938
5 3.14159265358979 -0.447531402832295
5 3.14159265358979 -0.447531402832295
5 3.14159265358979 -0.22301549389272
5 3.14159265358979 -0.220279887009764
5 3.14159265358979 -0.376738940650044
5 3.14159265358979 -0.561495892060769
5 3.14159265358979 -0.184001171850977
5 3.14159265358979 -0
5 3.14159265358979 -0.197751990875076
5 3.14159265358979 -0.463107427909375
5 3.14159265358979 -3.71649842579215e-30
5 3.14159265358979 0.0578752285702203
5 3.14159265358979 -0.143916298547842
5 3.14159265358979 5.5447758771899e-31
5 3.14159265358979 2.3977409198659e-30
5 3.14159265358979 3.47672433380556e-30
5 6.28318530717959 0
5 3.14159265358979 0
5 3.14159265358979 0
5 3.14159265358979 0
5 3.14159265358979 0
5 3.69287825202232 -0.704215102712133
5 3.69287825202232 -0.704215102712133
5 3.69287825202232 -0.685580755803099
5 3.69287825202232 -0.522779264395928
5 3.69287825202232 -0.704215102712133
5 3.69287825202232 -0.519458151301408
5 3.69287825202232 -0.526139767802102
5 3.69287825202232 -0.685580755803099
5 3.69287825202232 -0.673802326963427
5 3.69287825202232 -0.54735769239045
5 3.69287825202232 -0.575640846250938
5 3.69287825202232 -0.575640846250938
5 3.69287825202232 -0.704215102712133
5 3.69287825202232 -0.575640846250938
5 3.69287825202232 -0.575640846250938
5 3.69287825202232 -0.575640846250938
5 7.38575650404465 -0.685580755803099
5 3.69287825202232 -0.685580755803099
5 3.69287825202232 -0.685580755803099
5 3.69287825202232 -0.685580755803099
5 3.69287825202232 -0.685580755803099
5 4.84615384615385 0.244098405526523
5 4.84615384615385 0.244098405526523
5 4.84615384615385 0.223552711352232
5 4.84615384615385 0.223552711352232
5 4.84615384615385 0.141940227709186
5 4.84615384615385 0.244098405526523
5 4.84615384615385 0.223552711352232
5 4.84615384615385 0.143024935386345
5 4.84615384615385 0.244098405526523
5 4.84615384615385 0.223552711352232
5 4.84615384615385 0.166670655750424
5 4.84615384615385 0.223552711352232
5 4.84615384615385 0.365314983184687
5 1.17547965609182 4.30763093174711
5 1.17547965609182 4.30763093174711
5 1.17547965609182 4.42471398645483
5 1.17547965609182 4.42471398645483
5 1.17547965609182 4.88979629548524
5 1.17547965609182 4.30763093174711
5 1.17547965609182 4.42471398645483
5 1.17547965609182 4.88361490841555
5 1.17547965609182 4.30763093174711
5 1.17547965609182 4.42471398645483
5 1.17547965609182 4.74886583897524
5 1.17547965609182 4.42471398645483
5 1.17547965609182 3.61685810737631
5 -0 -0.0755477422796828
5 -0 -0.0755477422796828
5 -0 -0.0972418759639792
5 -0 -0.0921908175387777
5 -0 -0.0704966838544814
1 -1.02027942775629e-16 0
5 -0 -0.236505553198583
5 -0 0.0587092909581398
5 -0 0.0587092909581398
5 -0 -0.162125468128291
5 -0 -0.159256090068757
1 0 0
5 -0 -0.100721668183241
5 -0 -0.109044214429719
1 0 0
1 0 0
5 -0 -0.282216041251722
1 0 0
5 -0 -0.0598001650597716
5 -0 -0.0822696103716133
5 -0 -0.0598001650597716
5 -0 0.128792447311047
5 -0 0.0502611357217627
1 0 0
5 -0 0.2228289286644
5 -0 -0.112939687893992
1 0 0
1 0 0
5 -0 -0.0529447499970397
1 0 0
5 -0 -0.117211541313948
5 -0 0.0296580996821972
1 0 0
1 0 0
5 -0 0.0062062064125069
1 0 0
1 0 0
5 -0 -0.28721126657122
1 0 0
1 0 0
5 -0 0.0727749970486406
1 0 0
1 0 0
5 -0 -0.111382330070953
1 0 0
1 0 0
1 0 0
1 0 0
5 -0 0.0265776524014733
1 0 0
1 0 0
5 -0 0.128902955469992
5 -0 -0.337406944451337
1 0 0
1 6.80209011116785e-17 0
1 0 0
1 -1.58494635179094e-17 0
5 -0 -0.150700244584188
5 -0 -0.468256930534074
1 6.80209011116785e-17 0
1 0 0
1 0 0
1 0 0
1 -1.58494635179094e-17 0
5 -0 -0
5 -0 0.112792613645573
5 -0 -0
5 -0 -1.0163561835478e-30
5 -0 -0.00625957555867717
5 -0 0.165201487451513
5 -0 0.0847458876792337
5 -0 -0
5 -0 -0.0729427210786851
5 -0 -0.0976808948443029
5 -0 -0
5 -0 -0.107931076761028
5 -0 -0.0233612927597754
5 -0 -0
5 -0 0.121094563384206
5 -0 -0.117511686558452
5 -0 0.0861788968331786
5 -0 0.213368438983092
5 -0 -0.0128531482382544
5 -0 0.0245152728151582
5 -0 -0
5 -0 -0.0108057929313948
5 -0 -0.0898327215956678
5 -0 0.0163787510471345
5 -0 -0.0358538767311828
5 -0 0.0751457565325289
5 -0 0.109365532064836
5 -0 -0
5 -0 0.0806662966809076
5 -0 0.0694554012306609
5 -0 -0
5 -0 0.070052967776519
5 -0 -0.0730333636154779
5 -0 -0
5 -0 -1.97203438598826e-31
5 -0 0.0323761939773056
5 -0 -0.0215218016834254
5 -0 -0.0530778869186447
5 -0 -0
5 -0 -0.0650089014375406
5 -0 0.070052967776519
5 -0 -0.133778380117346
5 -0 -0.103057349965768
5 -0 0.070052967776519
5 -0 -0.0944075995031473
5 -0 -1.03152567882463e-30
5 -0 -0.00764682557542256
5 -0 0.070052967776519
5 -0 -0
5 -0 -0.024830332693418
5 -0 -0.0310383336253998
5 -0 -0.120428366702069
5 -0 -0
5 -0 -0
5 -0 0.00601155540877255
5 -0 -0
5 -0 -0
5 -0 0.117673067298598
5 -0 -0
5 -0 -0
5 -0 0.024600943023501
5 -0 -0
5 -0 -0
5 -0 0.196266335457866
5 -0 -0
5 -0 0.125179511027139
5 -0 -0
5 -0 1.58894723617548e-30
5 -0 0.00969301934384095
5 -0 0.17758838483308
5 -0 0.0847458876792337
5 -0 -0
5 -0 0.102420327761113
5 -0 0.0592434627230697
5 -0 -0
5 -0 0.050631635768547
5 -0 0.0361752103629033
5 -0 -0
5 -0 0.175879066366723
5 -0 0.0775422885230572
5 -0 -0.0261983846372863
5 -0 0.213368438983092
5 -0 0.00779543440650129
5 -0 0.0245152728151582
5 -0 -0
5 -0 0.0167328853095089
5 -0 0.0867380128826681
5 -0 -0.00497914031832888
5 -0 0.0217453762374624
5 -0 0.0751457565325289
5 -0 -0.0332471217477102
5 -0 -0
